setting,variant,channel_nmse,channel_nmse_db,weights_min,weights_max
baseline_repeat,model_all,1.071753e-03,-5.094001e+01,5.000000e-01,1.653714e+00
baseline_repeat,oracle_total_delay,1.062052e-06,-6.289137e+01,5.000000e-01,1.653714e+00
baseline_repeat,oracle_rx_offsets,3.969817e-06,-5.833800e+01,5.000000e-01,1.653714e+00
baseline_repeat,oracle_rel_delay,6.870474e-05,-4.186439e+01,5.000000e-01,1.653714e+00
baseline_repeat,oracle_cfo,5.766071e-06,-5.666534e+01,5.000000e-01,1.653714e+00
baseline_repeat,oracle_doppler,5.916519e-06,-5.663067e+01,5.000000e-01,1.653714e+00
baseline_repeat,oracle_shared_phase,4.213264e-07,-6.657498e+01,5.000000e-01,1.653714e+00
baseline_repeat,oracle_path_phase,6.874693e-05,-4.186159e+01,5.000000e-01,1.653714e+00
baseline_repeat,oracle_all_physical_keep_model_uncertainty,4.393298e-06,-5.357919e+01,5.000000e-01,1.653714e+00
baseline_repeat,oracle_ls_no_ai,1.752024e-10,-9.754948e+01,,
normalization_only,model_all,1.721505e-04,-4.568141e+01,5.000000e-01,1.653714e+00
normalization_only,oracle_total_delay,8.175870e-05,-4.956250e+01,5.000000e-01,1.653714e+00
normalization_only,oracle_rx_offsets,1.726361e-04,-4.571393e+01,5.000000e-01,1.653714e+00
normalization_only,oracle_rel_delay,6.636324e-05,-4.198144e+01,5.000000e-01,1.653714e+00
normalization_only,oracle_cfo,1.696211e-04,-4.608838e+01,5.000000e-01,1.653714e+00
normalization_only,oracle_doppler,1.721912e-04,-4.567165e+01,5.000000e-01,1.653714e+00
normalization_only,oracle_shared_phase,6.795696e-05,-5.293354e+01,5.000000e-01,1.653714e+00
normalization_only,oracle_path_phase,6.734506e-05,-4.197990e+01,5.000000e-01,1.653714e+00
normalization_only,oracle_all_physical_keep_model_uncertainty,4.493256e-06,-5.351402e+01,5.000000e-01,1.653714e+00
normalization_only,oracle_ls_no_ai,1.752024e-10,-9.754948e+01,,
loss_weight_only,model_all,4.494386e-05,-4.424033e+01,5.000000e-01,1.653714e+00
loss_weight_only,oracle_total_delay,1.099088e-05,-4.989322e+01,5.000000e-01,1.653714e+00
loss_weight_only,oracle_rx_offsets,4.100970e-05,-4.453485e+01,5.000000e-01,1.653714e+00
loss_weight_only,oracle_rel_delay,6.754050e-05,-4.193271e+01,5.000000e-01,1.653714e+00
loss_weight_only,oracle_cfo,4.586657e-05,-4.408761e+01,5.000000e-01,1.653714e+00
loss_weight_only,oracle_doppler,4.490682e-05,-4.424789e+01,5.000000e-01,1.653714e+00
loss_weight_only,oracle_shared_phase,8.944284e-06,-5.088331e+01,5.000000e-01,1.653714e+00
loss_weight_only,oracle_path_phase,6.315515e-05,-4.228455e+01,5.000000e-01,1.653714e+00
loss_weight_only,oracle_all_physical_keep_model_uncertainty,4.440078e-06,-5.359665e+01,5.000000e-01,1.653714e+00
loss_weight_only,oracle_ls_no_ai,1.752024e-10,-9.754948e+01,,
combined,model_all,9.512926e-05,-4.056141e+01,5.000000e-01,1.653714e+00
combined,oracle_total_delay,4.381204e-05,-4.369427e+01,5.000000e-01,1.653714e+00
combined,oracle_rx_offsets,8.541910e-05,-4.104122e+01,5.000000e-01,1.653714e+00
combined,oracle_rel_delay,6.805546e-05,-4.188828e+01,5.000000e-01,1.653714e+00
combined,oracle_cfo,1.192280e-02,-3.340046e+01,5.000000e-01,1.653714e+00
combined,oracle_doppler,9.616516e-05,-4.055184e+01,5.000000e-01,1.653714e+00
combined,oracle_shared_phase,3.520246e-05,-4.463732e+01,5.000000e-01,1.653714e+00
combined,oracle_path_phase,8.871875e-05,-4.105573e+01,5.000000e-01,1.653714e+00
combined,oracle_all_physical_keep_model_uncertainty,4.647700e-06,-5.334219e+01,5.000000e-01,1.653714e+00
combined,oracle_ls_no_ai,1.752024e-10,-9.754948e+01,,
